X1,X2,X3,Y
282.297683,12.49024951,67.87536941,0
-3.130631349,151.9609093,27.21868028,1
-60.57513357,27.72038027,76.63438079,1
313.4643067,-6.09527996,52.10893422,0
527.9349755,-67.14397639,46.57754022,0
216.1147662,107.8793966,64.44201677,1
282.1930834,-13.5531628,41.3499245,0
413.677877,5.368752043,-2.779522694,0
705.0985516,58.59460118,6.235100895,0
738.816842,-37.86389232,-0.920959505,0
96.76046716,125.5588654,-0.095053395,1
372.1352015,-3.889545073,49.77209408,0
-37.92383779,155.0454461,78.78419117,1
210.0481686,88.23812122,4.823622144,1
725.6191009,118.6117555,90.74731447,1
370.2572372,24.70319682,8.329923947,0
239.2145881,-0.791285451,-9.158820731,0
887.3285098,20.2734079,36.35640332,0
-15.5032617,-66.07617588,-26.85983381,0
267.7036805,-41.53978396,17.36774552,0
326.3655322,-50.94782206,54.4452625,0
697.0928818,44.93261732,31.18960109,0
706.1073818,138.7266579,40.071803,1
10.01166783,45.03826258,54.20384102,1
479.1878541,-22.87506455,34.45060419,0
827.1020844,-52.2401419,16.78540339,0
4.407073016,155.891978,0.74770916,1
93.30370984,-6.457247155,43.09700585,0
-80.08345823,17.15852314,52.05393272,1
763.2428604,70.67302778,81.34479944,0
536.389122,-41.45805446,38.05248682,0
315.9061212,103.9058261,-17.48237085,1
310.7077989,-33.68990902,-22.85028733,0
749.0322691,146.4850383,-8.122043428,1
811.8894035,105.2585879,3.312495144,1
334.9985604,-58.17998352,39.09016107,0
361.7444219,118.5746724,3.277078823,1
566.1023188,58.65148435,-10.36509663,0
740.4958834,-67.75247871,1.294451211,0
334.875851,85.65008101,-29.02643886,1
887.529112,116.5224095,8.577174971,1
98.67944274,17.13341429,-3.447795629,1
137.6803283,39.55097006,57.51039398,1
747.4655255,149.4031184,71.80538062,1
183.4214213,52.75421053,52.19848595,1
541.4841924,-76.70062669,56.90576534,0
11.29883492,7.405773832,-26.7818766,1
173.3479654,-89.27384953,27.89460674,0
-98.02718897,27.70396794,-17.98099031,1
381.4033354,-21.69072369,-29.34642947,0
619.0907186,-96.93060458,-17.57625612,0
565.318232,-71.41168332,38.85577978,0
-104.5715556,12.76739688,5.282593972,1
862.754692,1.652154462,25.77556669,0
862.7403793,77.83551629,8.412372969,0
640.560125,-24.51880961,75.6833242,0
764.831768,-70.56488751,56.54875145,0
734.1249063,120.7499151,20.10571057,1
-21.94022847,115.278285,27.60313629,1
304.4161692,15.04414718,-35.82396565,0
869.4268015,58.24238724,80.18999173,0
616.117212,-94.58296199,-8.764112349,0
-102.3565779,48.8237316,74.08374395,1
199.4772585,62.47066053,75.51491646,1
201.9206238,54.34209369,-10.88312374,1
702.1404823,-21.40266472,8.601163442,0
9.455093343,28.21971314,64.4940215,1
113.72315,65.07641359,82.10543224,1
537.5345294,122.7147432,9.783471385,1
415.9066212,-21.06210966,79.90401532,0
94.20540715,-21.48143969,26.24395576,0
797.3356158,22.64695013,52.77078477,0
83.34445944,-66.89286937,-5.056326905,0
76.22835163,109.1270687,-1.814970394,1
695.5695726,36.19388225,-1.242038327,0
769.2624049,4.545248652,27.90238463,0
539.6063172,10.69266066,-6.489744231,0
293.2960341,95.35914939,47.24104869,1
810.8418961,138.7818836,9.386237837,1
