X1,X2,X3,Y
212.3336436,327.3821731,259.6832812,1
80.91978594,1006.053094,446.5164846,1
578.7344137,994.6926298,690.1343431,1
305.0326315,129.3307823,300.8593097,0
619.6327388,640.43345,398.8456938,1
315.915717,509.0300312,29.26469043,1
999.9202223,896.3121866,892.3366086,1
721.1379446,786.6805022,187.1686526,1
95.88855179,881.5834742,255.3789019,1
438.2258234,987.9277497,51.69301918,1
900.1235203,112.0717233,266.3211569,0
400.2771231,773.2296605,445.9900381,1
624.2192685,571.9598161,318.6374487,1
700.6616556,271.4935845,46.94555566,0
514.944153,376.4310031,273.0965655,0
499.1970326,370.6641922,780.3990091,1
538.3507774,450.415097,215.7372109,1
363.5823842,989.1002657,922.7612435,1
237.4057715,404.5889632,981.6998327,1
698.9093902,418.5634549,174.330417,0
737.3687408,807.4686766,540.8174634,1
831.4032363,216.8280723,136.2510871,0
915.7715607,222.9566618,920.7662973,0
947.7380789,675.8245061,540.8498479,0
925.7036351,571.0341491,521.0556205,0
400.6881499,220.1525802,655.6636013,1
743.3209122,279.6906043,645.6890786,0
400.6050771,635.6746013,742.4671728,1
173.5727016,510.668213,134.7924873,1
574.1090727,811.2074041,547.2383332,1
934.6022358,78.21795315,364.9498413,0
56.79685408,582.2179751,804.4111225,1
739.1016328,507.1645691,74.78163039,0
70.18166162,381.6348027,606.3561905,1
592.8950027,807.9533189,827.6772187,1
761.555045,203.9394236,121.2499211,0
645.5250508,396.84384,831.427792,1
97.81195992,907.1015367,49.57189296,1
550.6058679,383.2098816,8.457738511,0
478.2275176,730.8905466,161.9480372,1
251.6679294,420.8012829,756.8947061,1
589.5822586,94.99585624,85.08187061,0
885.5383189,925.9536045,434.5563896,1
35.10393843,843.9169698,992.1838671,1
79.88961085,627.5736127,449.2181606,1
951.456995,732.6733775,324.2462796,0
531.2504476,827.9874218,95.30148293,1
979.7997151,80.86088633,711.7314808,0
108.2118908,-30.54573818,911.6902981,1
709.9281737,359.4423366,137.5271665,0
411.8978779,590.6660073,571.7343813,1
766.0108438,197.4402938,37.92934175,0
696.9439372,262.0300267,583.3782535,0
640.7054879,64.28678139,411.2517533,0
36.10107154,894.3224067,193.0724175,1
93.28894188,693.0069841,353.2408213,1
258.4201241,193.4030663,392.3680172,1
952.7963382,189.3630925,130.1845744,0
693.6851278,334.0547805,334.1445776,0
825.7086372,818.0899694,247.6586156,1
415.1533159,487.8027133,717.2006712,1
1005.790958,509.0995408,936.8069088,0
437.8545598,73.9152251,51.13476237,0
-18.02533236,40.27076851,221.7451222,1
192.9374284,109.5138298,108.495479,0
89.2721588,828.4983549,389.0069378,1
716.2302846,709.2809751,459.3114231,1
330.4130544,810.1824638,570.7589948,1
197.6795499,205.4259281,712.1564229,1
831.4773068,464.3279087,806.4019746,0
268.5211406,547.0270988,380.0463183,1
496.4106156,874.1582482,861.1695075,1
159.5980933,970.1625079,127.6824008,1
612.1605027,286.0879128,95.39022983,0
611.8142291,858.7813035,604.8630946,1
459.8104528,386.220534,284.0973736,1
80.59953486,965.6051469,237.2179029,1
881.1258871,513.5348163,736.8908748,0
941.8032667,124.1237336,101.7225416,0
137.2634123,735.9172437,949.7749104,1
986.5185638,683.6923349,874.2339748,1
1001.41428,582.9569108,243.0971815,0
712.9383667,328.3807759,967.412602,0
221.2792691,615.8504764,411.3711558,1
745.8625542,114.2249942,306.0983998,0
99.26374256,347.1770523,435.4826642,1
35.08783663,534.8401042,234.2975592,1
971.4963636,920.3255529,778.456196,1
246.3967397,505.1609625,765.9996489,1
695.5352391,106.6297009,886.3357834,0
472.8354586,82.49632715,278.2940075,0
268.6998213,241.933678,514.7095781,1
62.29709719,875.4672598,491.2673072,1
663.8489521,312.719981,16.46933783,0
288.6895501,296.1020175,680.6640244,1
674.7936988,392.1692167,988.6468183,1
979.9065363,807.3652361,499.2600938,1
948.3264706,105.6397109,405.4559003,0
210.5325633,768.5161941,362.0530963,1
264.4165112,964.7404646,719.0065573,1
221.3620366,497.0919087,609.9778548,1
283.1999355,102.1836262,675.8171946,1
751.0331081,528.1228679,497.1059387,0
719.1587731,643.4222726,343.0258606,1
38.06189293,634.5817134,849.692858,1
906.9022181,902.6376837,528.1605506,1
953.4289642,811.3731847,307.2683884,0
756.7865082,443.1916124,895.3282421,1
653.5907529,899.4109257,822.9772288,1
651.4705695,359.0292395,266.2440014,0
939.9384967,722.3925316,67.69794188,0
763.0921288,572.4843352,866.9344766,1
982.3347661,643.8659239,644.2388101,0
544.3516992,133.5779255,720.955496,0
475.9065406,176.2837108,522.8744479,0
426.1869615,370.5452257,97.46530211,0
611.9737413,323.2499752,1005.971141,1
507.7599335,218.8009858,900.6498785,1
617.6755591,30.25988409,777.8564644,0
342.3616056,319.0310701,760.8294047,1
587.625925,981.1001293,734.7243246,1
169.5901907,63.32118864,423.7610157,1
518.0305764,151.8042279,458.3826672,0
632.0941753,467.9246791,299.2145959,0
697.2222047,687.8188544,199.8916772,1
666.0284081,755.4995465,950.4541516,1
239.7641104,475.8161809,225.2413098,1
568.6191331,856.1159919,265.9544084,1
486.0979236,112.5643537,739.0485559,0
780.7199221,531.7741083,419.6613229,0
520.4581368,767.5448202,113.3320953,1
